Id,SalePrice
1461,117294.1961
1462,174360.994
1463,188140.4797
1464,203209.8125
1465,176487.7158
1466,180692.709
1467,199085.054
1468,157487.3164
1469,211487.6999
1470,117882.9182
1471,204864.2888
1472,101545.1116
1473,85781.4466
1474,153677.8695
1475,110607.6273
1476,281840.8789
1477,247732.6382
1478,267758.4628
1479,270743.0009
1480,311613.0279
1481,285623.9161
1482,213510.4351
1483,183351.1848
1484,167134.8395
1485,186129.2993
1486,206806.7019
1487,267926.4744
1488,253758.3345
1489,194993.3278
1490,228013.894
1491,203956.4674
1492,85970.3328
1493,212031.4185
1494,278303.9212
1495,277258.6987
1496,219605.2602
1497,183647.9061
1498,155282.0545
1499,160750.3706
1500,154023.618
1501,170022.5623
1502,143549.5442
1503,279841.1206
1504,241372.0585
1505,224857.4534
1506,197553.0241
1507,245829.081
1508,211043.0786
1509,160872.1612
1510,151006.3348
1511,150444.0102
1512,180247.9409
1513,149005.9296
1514,176806.826
1515,216170.0635
1516,159807.0554
1517,187442.8509
1518,127457.7284
1519,230413.3758
1520,123827.1986
1521,131072.1903
1522,195186.9071
1523,76588.86285
1524,115413.9326
1525,117161.3529
1526,110698.794
1527,97055.22508
1528,144607.5591
1529,136378.3384
1530,215234.0551
1531,119088.6543
1532,113133.0193
1533,150238.4037
1534,119316.7378
1535,181614.921
1536,104904.0376
1537,52631.66073
1538,177271.3389
1539,218786.8454
1540,121826.7792
1541,156650.562
1542,137249.2349
1543,213145.8027
1544,70573.32872
1545,116284.061
1546,125638.789
1547,126787.2146
1548,129265.5631
1549,118379.9729
1550,119289.5809
1551,131861.0034
1552,130312.3794
1553,162409.1512
1554,107412.5891
1555,179228.6606
1556,73618.57881
1557,114534.1034
1558,78497.24215
1559,93157.62922
1560,161529.2855
1561,136077.5736
1562,125593.3085
1563,119065.886
1564,167325.7038
1565,151178.4804
1566,262846.6185
1567,58126.90144
1568,234525.5312
1569,103995.216
1570,146554.0583
1571,108648.4733
1572,158686.8023
1573,266281.1332
1574,126926.8611
1575,245692.6407
1576,248465.3515
1577,189339.8802
1578,149336.661
1579,141592.7895
1580,203145.6683
1581,158026.8612
1582,119525.3381
1583,289574.8415
1584,223796.663
1585,149042.5136
1586,59734.25408
1587,83609.9368
1588,155296.0023
1589,86177.57142
1590,137598.0064
1591,67441.03179
1592,132151.7025
1593,118620.4916
1594,122319.494
1595,133491.5398
1596,231893.0396
1597,179417.9585
1598,203933.1922
1599,191778.9709
1600,175655.7183
1601,45834.89869
1602,99639.54335
1603,67179.9649
1604,244062.8291
1605,259183.4583
1606,184874.134
1607,182589.6185
1608,232104.1298
1609,191926.9105
1610,150973.2855
1611,156217.316
1612,168462.7378
1613,176161.566
1614,120923.8583
1615,77979.33367
1616,47459.27593
1617,69914.95412
1618,116769.5242
1619,150132.2173
1620,172966.1704
1621,131155.6003
1622,129758.268
1623,263821.7073
1624,220072.3198
1625,120913.078
1626,191020.9101
1627,200244.3843
1628,278175.1661
1629,180096.2222
1630,277984.0335
1631,207522.2748
1632,226217.093
1633,166680.0013
1634,185913.2474
1635,181360.0993
1636,155572.1982
1637,209428.0611
1638,225419.0553
1639,213817.8756
1640,263204.8045
1641,202563.0138
1642,226840.3547
1643,228935.8615
1644,235506.2105
1645,214512.9038
1646,174680.4648
1647,182440.2847
1648,131404.2901
1649,133585.151
1650,120462.4884
1651,125195.7525
1652,103018.1333
1653,109839.8339
1654,147340.4671
1655,147518.221
1656,140719.1744
1657,146954.081
1658,141605.9307
1659,126813.316
1660,164765.4151
1661,326821.6509
1662,311374.8781
1663,303577.38
1664,328637.6836
1665,276945.9866
1666,298539.2531
1667,314707.6275
1668,287198.6443
1669,275532.1458
1670,295487.0962
1671,268758.8388
1672,301841.8031
1673,270266.5748
1674,260395.0292
1675,198579.282
1676,198754.3052
1677,231095.4712
1678,314711.66
1679,300942.3708
1680,269857.0072
1681,224416.2556
1682,289133.5482
1683,192379.8035
1684,191371.1027
1685,170719.8422
1686,177630.7418
1687,170984.2183
1688,201519.0404
1689,204453.2191
1690,199467.3626
1691,187547.0234
1692,262978.9066
1693,165709.8409
1694,181406.4213
1695,159628.193
1696,276735.1807
1697,169679.4301
1698,310932.4722
1699,281333.5606
1700,255915.7996
1701,272296.8648
1702,257722.0489
1703,260967.9592
1704,283316.1877
1705,241907.5382
1706,316916.0289
1707,207761.1105
1708,207127.8205
1709,262210.695
1710,231641.4033
1711,272964.0746
1712,253925.2389
1713,267003.1274
1714,227348.0585
1715,197044.5963
1716,202393.6778
1717,185209.696
1718,140308.0949
1719,211716.7324
1720,245476.6821
1721,191906.2131
1722,132787.2247
1723,169488.3718
1724,217048.5242
1725,237088.8987
1726,181918.4702
1727,147013.6116
1728,181482.6359
1729,161117.6496
1730,187413.2249
1731,123168.0082
1732,126849.8841
1733,109887.7664
1734,110795.2433
1735,125017.8109
1736,99818.88729
1737,305336.0896
1738,251634.0629
1739,245599.4216
1740,206086.6227
1741,203252.2076
1742,169443.2058
1743,174319.2441
1744,292184.2838
1745,222969.6421
1746,210414.9328
1747,229586.5699
1748,219834.1718
1749,161480.8935
1750,155074.9472
1751,260051.0221
1752,108733.5005
1753,155669.1702
1754,227372.7262
1755,174103.1802
1756,128080.771
