,Id,SalePrice
0,1461,138208.53566670272
1,1462,157155.76122721503
2,1463,176459.08447336956
3,1464,190965.0436126435
4,1465,199221.44781730848
5,1466,180038.52575134978
6,1467,171117.3725758257
7,1468,176962.92798127752
8,1469,181276.83402473593
9,1470,113891.04604618686
10,1471,189487.38442441833
11,1472,108021.73711275392
12,1473,105449.47193056977
13,1474,153597.52065524814
14,1475,147951.66859077802
15,1476,309900.0928403066
16,1477,243849.68461889983
17,1478,302929.1344274954
18,1479,243571.1154523482
19,1480,317974.70100430143
20,1481,288347.0945910588
21,1482,199665.44352881637
22,1483,174352.0725351588
23,1484,189759.51805540523
24,1485,178587.4191136689
25,1486,211396.7327895158
26,1487,250379.44069016
27,1488,269437.8800253967
28,1489,221942.45201376482
29,1490,194012.54059698724
30,1491,190683.22007081105
31,1492,112170.28189722872
32,1493,182071.21130501034
33,1494,288367.6401634357
34,1495,302502.4660600191
35,1496,262706.48095464794
36,1497,191938.73193263222
37,1498,153508.38504971267
38,1499,153945.2845183889
39,1500,161258.45812468088
40,1501,164765.5025817707
41,1502,179149.51952328387
42,1503,267471.1559567343
43,1504,208962.09745300948
44,1505,203698.03542261975
45,1506,181576.3006090738
46,1507,214347.3751068208
47,1508,205942.74788349637
48,1509,169937.98947384226
49,1510,155881.0117402002
50,1511,152308.87612300835
51,1512,165322.5850321624
52,1513,160237.96160673202
53,1514,167251.5628099239
54,1515,180791.73241871264
55,1516,171491.4103569315
56,1517,158226.27042786678
57,1518,130848.21254467836
58,1519,224857.1306879969
59,1520,142121.24452863928
60,1521,150682.459331998
61,1522,164448.06094691574
62,1523,118839.718664672
63,1524,132015.8270923494
64,1525,135284.37848563964
65,1526,135156.17793987875
66,1527,106895.81026201558
67,1528,135922.93708275913
68,1529,149472.6671774412
69,1530,175321.4382997224
70,1531,115228.73518448904
71,1532,123663.35800210468
72,1533,142553.26129351967
73,1534,124058.69098885627
74,1535,159780.49055218053
75,1536,126155.2820704853
76,1537,91643.87075420197
77,1538,166426.54767613352
78,1539,195803.88616191698
79,1540,124848.96856554644
80,1541,172245.27205672298
81,1542,166569.7943682312
82,1543,194043.89767993073
83,1544,76580.36951331787
84,1545,121319.99224955904
85,1546,133258.9989426122
86,1547,151726.3978203201
87,1548,144868.3742697396
88,1549,129897.66742792689
89,1550,142592.53570022585
90,1551,127251.68200894516
91,1552,168493.69718933944
92,1553,145306.12346286408
93,1554,111971.05095086069
94,1555,170789.9447182433
95,1556,110843.98491937324
96,1557,143157.2850787284
97,1558,99234.21260454363
98,1559,127925.36436899079
99,1560,151686.5555805084
100,1561,163173.22775180294
101,1562,132876.59137565573
102,1563,125138.10362194206
103,1564,168550.80952268175
104,1565,157829.84268051948
105,1566,201940.27120452348
106,1567,91146.13457870432
107,1568,211699.84544045365
108,1569,150072.70763188452
109,1570,124818.28083038499
110,1571,139981.86757718422
111,1572,147115.80345132184
112,1573,228787.76725061043
113,1574,102099.24187223504
114,1575,205317.3722678042
115,1576,210934.4573953024
116,1577,204548.4019092118
117,1578,181890.9274058164
118,1579,148278.02311265378
119,1580,188946.99098534367
120,1581,153310.78594096407
121,1582,136287.46798853265
122,1583,309208.9881803463
123,1584,218961.32864500504
124,1585,146070.35517836807
125,1586,87063.36349754152
126,1587,117331.96183438631
127,1588,154461.01309645615
128,1589,104130.53259880414
129,1590,140645.3829129879
130,1591,113258.11522084595
131,1592,133212.57721101513
132,1593,131313.46453231914
133,1594,147035.22242639662
134,1595,126480.6130207351
135,1596,223455.19280448716
136,1597,160501.05493416745
137,1598,191231.99360877372
138,1599,194179.05148773696
139,1600,197631.90956233838
140,1601,103099.52820401797
141,1602,130195.93757584709
142,1603,106370.48855811315
143,1604,256647.34635155875
144,1605,261700.56222948426
145,1606,172639.1719498762
146,1607,210357.59996380244
147,1608,206705.79393426093
148,1609,196421.90884061056
149,1610,157521.41295326952
150,1611,155328.3705266501
151,1612,153067.6954048811
152,1613,170507.17978561297
153,1614,126999.64571321754
154,1615,95944.00571318649
155,1616,93066.13999289225
